source	SSC no & ACC no	SSC yes & ACC no	SSC no & ACC yes	SSC yes & ACC yes	sum sp	rank
wikidata	5.265.234 	24.384.859 	3.422.361 	1.977.610 	35.050.064 	1
wikipedia_en	2.941.570 	4.243.944 	1.613.984 	933.395 	9.732.893 	2 
wikipedia_nl	785.816 	2.353.808 	988.649 	347.093 	4.475.366 	3
wikipedia_de	1.077.277 	1.607.037 	917.415 	415.810 	4.017.539 	4 
dnb	575.865 	1.322.833 	544.622 	732.846 	3.176.166 	5 
wikipedia_fr	855.028 	997.168 	804.636 	288.698 	2.945.530 	6
wikipedia_sv	1.436.481 	359.127 	363.053 	163.990 	2.322.651 	7
wikipedia_es	678.531 	543.558 	612.609 	444.117 	2.278.815 	8
wikipedia_it	390.646 	354.085 	501.840 	473.972 	1.720.543 	9 
wikipedia_ru	337.463 	396.921 	382.679 	368.642 	1.485.705 	10 
wikipedia_pt	353.874 	294.392 	558.945 	205.582 	1.412.793 	11
wikipedia_ja	256.551 	493.469 	264.049 	154.544 	1.168.613 	12
wikipedia_pl	369.937 	190.221 	417.225 	180.110 	1.157.493 	13 
wikipedia_id	228.018 	369.065 	175.250 	105.188 	877.521 	14
wikipedia_uk	73.746 	152.851 	114.463 	181.579 	522.639 	15
kb	0 	163.137 	0 	355.848 	518.985 	16 
wikipedia_sr	74.490 	137.080 	211.357 	87.280 	510.207 	17
wikipedia_ko	66.411 	100.019 	172.941 	75.353 	414.724 	18
wikipedia_cs	98.354 	77.888 	125.229 	70.080 	371.551 	19 
wikipedia_bg	53.408 	44.663 	103.651 	53.606 	255.328 	20 
wikipedia_hu	46.190 	41.079 	100.543 	60.546 	248.358 	21
wikipedia_tr	45.898 	33.247 	95.026 	60.840 	235.011 	22
wikipedia_ca	11.277 	3.735 	22.155 	113.159 	150.326 	23 
wikipedia_gl	18.291 	59.266 	43.328 	28.916 	149.801 	24
wikipedia_ar	28.039 	32.994 	61.359 	23.753 	146.145 	25
musicbrainz	0 	58.908 	0 	57.376 	116.284 	26 
wikipedia_eu	8.645 	13.768 	77.055 	10.079 	109.547 	27
wikipedia_el	21.491 	18.643 	43.256 	21.468 	104.858 	28 
wikipedia_be	17.425 	12.935 	42.304 	18.296 	90.960 	29 
wikipedia_eo	6.679 	12.646 	36.509 	19.522 	75.356 	30 
wikipedia_lv	12.445 	12.325 	25.001 	18.328 	68.099 	31
wikipedia_mk	4.226 	10.910 	37.389 	15.382 	67.907 	32
wikipedia_hr	10.532 	11.074 	24.884 	12.313 	58.803 	33
wikipedia_sk	14.857 	4.425 	27.635 	10.144 	57.061 	34
wikipedia_sl	12.569 	15.608 	17.493 	8.998 	54.668 	35
wikipedia_vi	19.266 	19.472 	6.805 	8.965 	54.508 	36
wikipedia_hi	13.283 	3.449 	4.147 	20.517 	41.396 	37
wikipedia_ga	3.738 	1.622 	16.941 	8.945 	31.246 	38
wikipedia_bn	4.386 	7.243 	10.185 	8.099 	29.913 	39 
wikipedia_az	7.395 	4.447 	6.249 	3.429 	21.520 	40 
wikipedia_cy	206 	77 	746 	971 	2.000 	41 
wikipedia_ro	450 	515 	382 	395 	1.742 	42
wikipedia_hy	149 	101 	111 	89 	450 	43
